Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
3169505,Tumiritinga (MG),71918.0,2721.0,12290.0,3414.0,21241.0,32252.0
3169604,Tupaciguara (MG),851770.0,70703.0,183746.0,150838.0,309179.0,137304.0
3169703,Turmalina (MG),422188.0,25991.0,141618.0,28617.0,136093.0,89870.0
3169802,Turvolândia (MG),114629.0,5383.0,44850.0,6864.0,30765.0,26767.0
3169901,Ubá (MG),3299471.0,360458.0,26642.0,1081169.0,1380551.0,450651.0
3170008,Ubaí (MG),104940.0,3921.0,10904.0,4037.0,32138.0,53939.0
3170057,Ubaporanga (MG),152274.0,7849.0,24689.0,10042.0,53365.0,56329.0
3170107,Uberaba (MG),17190845.0,2460679.0,872927.0,5051889.0,7196264.0,1609085.0
3170206,Uberlândia (MG),37631537.0,8378969.0,705877.0,8395040.0,17143965.0,3007686.0
3170305,Umburatiba (MG),48319.0,1346.0,18447.0,2042.0,9405.0,17079.0
3170404,Unaí (MG),3323472.0,281627.0,1030634.0,275309.0,1299428.0,436474.0
3170438,União de Minas (MG),116586.0,4224.0,55000.0,6227.0,25529.0,25606.0
3170479,Uruana de Minas (MG),66872.0,2356.0,22910.0,2091.0,17322.0,22193.0
3170503,Urucânia (MG),241654.0,20200.0,36726.0,70669.0,67966.0,46093.0
3170529,Urucuia (MG),154626.0,6402.0,34321.0,5385.0,35869.0,72649.0
3170578,Vargem Alegre (MG),68575.0,4012.0,3419.0,3524.0,26067.0,31552.0
3170602,Vargem Bonita (MG),61377.0,2252.0,23033.0,3012.0,16333.0,16747.0
3170651,Vargem Grande do Rio Pardo (MG),59074.0,1517.0,14990.0,3898.0,12779.0,25890.0
3170701,Varginha (MG),6255981.0,1271243.0,68725.0,1116500.0,3146401.0,653112.0
3170750,Varjão de Minas (MG),207757.0,7086.0,101599.0,16327.0,46624.0,36121.0
3170800,Várzea da Palma (MG),893883.0,140847.0,79956.0,236955.0,261479.0,174647.0
3170909,Varzelândia (MG),174473.0,9343.0,6606.0,6853.0,68971.0,82700.0
3171006,Vazante (MG),889476.0,90363.0,198475.0,250919.0,251299.0,98420.0
3171030,Verdelândia (MG),94900.0,3667.0,26944.0,3889.0,17994.0,42405.0
3171071,Veredinha (MG),121046.0,2882.0,55243.0,15493.0,19374.0,28055.0
3171105,Veríssimo (MG),130676.0,3610.0,71799.0,5381.0,24547.0,25338.0
